actor_id,has_target,country_id
AZ-AST,False,AZ
AZ-BA,False,AZ
AZ-BAL,False,AZ
AZ-BAR,False,AZ
AZ-BEY,False,AZ
AZ-BIL,False,AZ
AZ-CAB,False,AZ
AZ-CAL,False,AZ
AZ-DAS,False,AZ
AZ-FUZ,False,AZ
AZ-GA,False,AZ
AZ-GAD,False,AZ
AZ-GOR,False,AZ
AZ-GOY,False,AZ
AZ-GYG,False,AZ
AZ-HAC,False,AZ
AZ-IMI,False,AZ
AZ-ISM,False,AZ
AZ-KAL,False,AZ
AZ-KUR,False,AZ
AZ-LA,False,AZ
AZ-LAC,False,AZ
AZ-LAN,False,AZ
AZ-LER,False,AZ
AZ-MAS,False,AZ
AZ-MI,False,AZ
AZ-NA,False,AZ
AZ-NEF,False,AZ
AZ-NX,False,AZ
AZ-OGU,False,AZ
AZ-QAB,False,AZ
AZ-QAX,False,AZ
AZ-QAZ,False,AZ
AZ-QBA,False,AZ
AZ-QBI,False,AZ
AZ-QOB,False,AZ
AZ-QUS,False,AZ
AZ-SA,False,AZ
AZ-SAB,False,AZ
AZ-SAK,False,AZ
AZ-SAL,False,AZ
AZ-SAT,False,AZ
AZ-SBN,False,AZ
AZ-SIY,False,AZ
AZ-SKR,False,AZ
AZ-SM,False,AZ
AZ-SMI,False,AZ
AZ-SMX,False,AZ
AZ-SR,False,AZ
AZ-SUS,False,AZ
AZ-TAR,False,AZ
AZ-TOV,False,AZ
AZ-UCA,False,AZ
AZ-XA,False,AZ
AZ-XAC,False,AZ
AZ-XCI,False,AZ
AZ-XIZ,False,AZ
AZ-XVD,False,AZ
AZ-YAR,False,AZ
AZ-YE,False,AZ
AZ-YEV,False,AZ
AZ-ZAN,False,AZ
AZ-ZAQ,False,AZ
AZ-ZAR,False,AZ
BA-BIH,False,BA
BA-BRC,False,BA
BA-SRP,False,BA
BB,True,BB
BB-01,False,BB
BB-02,False,BB
BB-03,False,BB
BB-04,False,BB
BB-05,False,BB
BB-06,False,BB
BB-07,False,BB
BB-08,False,BB
BB-09,False,BB
BB-10,False,BB
BB-11,False,BB
BD-A,False,BD
BD-B,False,BD
